,ScanOrder,Original order,Order in fixture,Scan/-Fixture,Geno,Row,Plant,WR_number,WR,WR_LEcheck,WR_AHcheck,Root,RatiobyPlant,TWRRatio,MWRRatio,BWRRatio,CT notes,ai 1 (dont use),bi1(dont use),ai2,bi2,ao,bo,MajorD,MinorD,MajorThicc,MinorThicc,Majorthicc2,MinorThicc2,CT_Error,K,BL,UL,test notes,MOI_solid,E_MPa,E_GPa,MOItruex,MOItruey,MOI_true_average,,,,,,,
,79,79,,2-Thin1,HickKing,1350,3,1,MWR,,,3,0.56217,,0.831377411,,Scanned 7/2,,,0.15,1.125,0.781,1.793,3.586,1.562,,,,,,247.08854,17.71034,22.69111,,0.670846677,37699.43638,37.69943638,,,,,,,,,,
,80,80,,2-Thin1,HickKing,1350,3,1,MWR,,,4,0.56217,,0.831377411,,Scanned 7/2,,,0.129,1.095,0.807,1.666,3.332,1.614,,,,,,134.80542,12.7661,14.30389,,0.687678557,20064.4564,20.0644564,,,,,,,,,,
,81,81,,2-Thin1,HickKing,1350,2,1,MWR,,,1,0.64906,,0.905796,,Scanned 7/2,,,0.217,0.808,0.829,1.432,2.864,1.658,,,,,,122.99879,4.68302,7.30213,,0.64076162,19647.6166,19.6476166,,,,,,,,,,
,82,82,,2-Thin1,HickKing,1350,2,1,MWR,,,2,0.64906,,0.905796,,Scanned 7/2,,,0.738,0.941,1.405,1.897,3.794,2.81,,,,,,133.47286,9.32673,12.36786,,4.132246162,3306.072006,3.306072006,,,,,,,,,,
,83,83,,2-Thin1,HickKing,1350,2,1,MWR,,,3,0.64906,,0.905796,,Scanned 7/2,,,0.472,1,1.185,1.811,3.622,2.37,,,,,,131.14896,6.43783,12.93503,,2.36680993,5671.618299,5.671618299,,,,,,,,,,
,84,84,,2-Thin1,HickKing,1350,2,1,MWR,,,4,0.64906,,0.905796,,Scanned 7/2,,,0.445,0.911,1.057,1.803,3.606,2.114,,,,,,145.58118,5.76738,10.7446,,1.672286062,8910.461375,8.910461375,,,,,,,,,,
,85,85,,3-Thicc2,LH252,1261,2,1,BWR,,,1,0.55806576,,,0.55806576,Scanned 7/2,,,1.038,1.083,2.293,2.335,4.67,4.586,,,,,,892.11962,23.73013,49.73959,,22.11000956,4129.901437,4.129901437,,,,,,,,,,
,86,86,,3-Thicc2,LH252,1261,2,1,BWR,,,2,0.55806576,,,0.55806576,Scanned 7/2,,,0.838,1.017,2.127,2.358,4.716,4.254,,,,,,772.43373,47.63176,51.98667,,17.82116749,4436.399063,4.436399063,,,,,,,,,,
,87,87,,3-Thicc2,LH252,1261,3,2,BWR,,,1,0.218286,,,,Scanned 7/2,,,0.856,1.02,2.184,2.26,4.52,4.368,,,,,,1634,,,too high,18.4908222,9044.849738,9.044849738,,,,,,,,,,
,88,88,,3-Thicc2,LH252,1261,3,2,BWR,,,2,0.218286,,,,Scanned 7/2,,,0.894,1.15,1.882,2.308,4.616,3.764,,,,,,,,,splintered,12.08327176,0,0,,,,,,,,,,
