"","ID","Brace.Root.Whorls.in.the.Soil","WR_CHR","Geno","Row","Plant","ai2","bi2","ao","bo","K","BL","UL","MOItruex","MOItruey","MOI_solid_AH","MOI_hollow_AH","E_Mpa_AH","E_GPa_AH","MinorD_AH","MajorD_AH"
"55","B73_1391_4","2","Bottom","B73","1391"," 4",0.067,0.07,2.363,2.947,58.86592,10.00445,12.38714,25.4866891,21.9959651,30.5385472565373,30.5385307217154,197.297275998513,0.197297275998513,4.726,5.894
"56","B73_1391_4","2","Middle","B73","1391"," 4",0.042,0.06025,1.5615,2.1105,91.1016125,7.469925,9.766455,8.284535975,5.8334735,6.31085780595089,6.31085430019239,1477.55343507095,1.47755343507095,3.123,4.221
"57","B73_1391_5","2","Bottom","B73","1391"," 5",0.064,0.083,2.828,3.163,117.89217,19.12243,20.79028,24.3737743,33.7851064,56.1842360469388,56.1842189587872,214.77118255722,0.214771182557219,5.656,6.326
"58","B73_1391_5","2","Middle","B73","1391"," 5",0.0485,0.062,1.82125,2.20725,65.4820025,4.833265,8.669745,9.213397375,11.227747475,10.4721846807391,10.4721791256122,640.015049570256,0.640015049570256,3.6425,4.4145
"59","B73_1391_6","2","Bottom","B73","1391"," 6",0.0445,0.0665,2.009,2.653,65.43105,7.049135,11.197245,16.13364585,16.4241802,16.8948419349836,16.894837332643,396.401494766723,0.396401494766723,4.018,5.306
"61","B73_1391_8","1","Bottom","B73","1391"," 8",0.0285,0.0515,1.1105,1.991,130.86103,3.32617,9.856155,4.3698131,5.46447635,2.14143068463603,2.14142974832771,6254.77713142427,6.25477713142427,2.221,3.982
"62","Oh43_1267_1","1","Bottom","Oh43","1267"," 1",0.3945,1.1055,1.1745,2.014,59.954285,3.245265,8.28304,3.22247515,4.81601775,2.56268721520458,2.50938112347782,2394.5844201595,2.3945844201595,2.349,4.028
"63","Oh43_1267_2","1","Bottom","Oh43","1267"," 2",0.790428571428571,1.32842857142857,1.68114285714286,2.29685714285714,93.0140771428571,12.83399,14.9945928571429,11.0181313,10.4185904714286,8.57087016238557,8.05563775582444,1110.78317298606,1.11078317298606,3.36228571428571,4.59371428571429
"64","Oh43_1267_3","1","Bottom","Oh43","1267"," 3",0.3615,1.2075,1.1485,2.0385,76.746765,7.732385,8.784085,3.73063265,7.16407915,2.42538555731629,2.38058441195843,3238.80512615467,3.23880512615467,2.297,4.077
"66","Oh43_1267_6","2","Middle","Oh43","1267"," 6",1.0325,1.5855,2.098,2.64975,108.71163,13.3598666666667,14.813115,17.464344975,13.462133075,19.2175679406581,17.846959190546,579.006059975138,0.579006059975138,4.196,5.2995
"69","Oh43_1317_6","2","Middle","Oh43","1317"," 6",0.9105,1.4545,1.508,2.4495,181.668595,12.56735,16.460365,10.698234325,11.809802,6.59718315079184,5.73493822217286,2818.55713654051,2.81855713654051,3.016,4.899
"70","Oh43_1399_1","2","Middle","Oh43","1399"," 1",0.565,1.51166666666667,1.63366666666667,2.684,107.740476666667,10.90664,11.22492,12.5296624666667,15.3689407333333,9.1907283019932,8.97659784056463,1199.87082014975,1.19987082014975,3.26733333333333,5.368
