General : Start date,"2020-09-02"
General : End date,"2020-09-02"
General : Unique identifier,"{525303F0-5A9A-48A9-86B0-37E8C3DB49FB}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"1267 P2 W1 3 (4 samples)"
Break (Standard) : Load at Break (Standard),"7.74457",N
Maximum Load : Maximum Load,"8.38266",N

Time,Extension,Load
(s),(mm),(N)
"41.20000","0.68614","6.48211"
"41.30000","0.68775","6.48866"
"41.40000","0.68945","6.49828"
"41.50000","0.69121","6.50970"
"41.60000","0.69292","6.51862"
"41.70000","0.69461","6.52625"
"41.80000","0.69630","6.53401"
"41.90000","0.69799","6.54256"
"42.00000","0.69971","6.55124"
"42.10000","0.70136","6.55784"
"42.20000","0.70297","6.56344"
"42.30000","0.70454","6.56895"
"42.40000","0.70615","6.57613"
"42.50000","0.70780","6.58420"
"42.60000","0.70947","6.59276"
"42.70000","0.71113","6.60102"
"42.80000","0.71274","6.60761"
"42.90000","0.71442","6.61667"
"43.00000","0.71615","6.62656"
"43.10000","0.71785","6.63499"
"43.20000","0.71967","6.64608"
"43.30000","0.72143","6.65529"
"43.40000","0.72310","6.66187"
"43.50000","0.72472","6.66763"
"43.60000","0.72637","6.67467"
"43.70000","0.72807","6.68239"
"43.80000","0.72971","6.68788"
"43.90000","0.73137","6.69534"
"44.00000","0.73305","6.70277"
"44.10000","0.73474","6.71005"
"44.20000","0.73642","6.71787"
"44.30000","0.73806","6.72393"
"44.40000","0.73969","6.73075"
"44.50000","0.74136","6.73873"
"44.60000","0.74303","6.74686"
"44.70000","0.74467","6.75363"
"44.80000","0.74624","6.75817"
"44.90000","0.74790","6.76601"
"45.00000","0.74955","6.77313"
"45.10000","0.75117","6.77943"
"45.20000","0.75281","6.78612"
"45.30000","0.75444","6.79218"
"45.40000","0.75613","6.79987"
"45.50000","0.75776","6.80617"
"45.60000","0.75941","6.81269"
"45.70000","0.76113","6.82098"
"45.80000","0.76286","6.82904"
"45.90000","0.76453","6.83506"
"46.00000","0.76617","6.84090"
"46.10000","0.76784","6.84715"
"46.20000","0.76965","6.85800"
"46.30000","0.77143","6.86662"
"46.40000","0.77306","6.87169"
"46.50000","0.77474","6.87927"
"46.60000","0.77643","6.88610"
"46.70000","0.77813","6.89406"
"46.80000","0.77977","6.89988"
"46.90000","0.78139","6.90571"
"47.00000","0.78306","6.91231"
"47.10000","0.78471","6.91929"
"47.20000","0.78638","6.92637"
"47.30000","0.78802","6.93255"
"47.40000","0.78964","6.93819"
"47.50000","0.79118","6.94070"
"47.60000","0.79277","6.94595"
"47.70000","0.79446","6.95350"
"47.80000","0.79602","6.95713"
"47.90000","0.79777","6.96672"
"48.00000","0.79955","6.97525"
"48.10000","0.80118","6.97999"
"48.20000","0.80287","6.98614"
"48.30000","0.80452","6.99153"
"48.40000","0.80620","6.99802"
"48.50000","0.80784","7.00287"
"48.60000","0.80936","7.00508"
"48.70000","0.81091","7.00887"
"48.80000","0.81252","7.01423"
"48.90000","0.81415","7.02002"
"49.00000","0.81588","7.02919"
"49.10000","0.81762","7.03620"
"49.20000","0.81934","7.04292"
"49.30000","0.82116","7.05209"
"49.40000","0.82277","7.05533"
"49.50000","0.82458","7.06461"
