General : Start date,"2020-08-07"
General : End date,"2020-08-07"
General : Unique identifier,"{EEC498D4-7B12-493F-8C41-D095A7B2516F}"
Specimen notes : Length, D1, D2,""
Specimen notes : Genotype and WR,"P1 W1 R1"
Break (Standard) : Load at Break (Standard),"23.08853",N
Maximum Load : Maximum Load,"27.32899",N

Time,Extension,Load
(s),(mm),(N)
"57.30000","0.95422","13.03199"
"57.40000","0.95596","13.05588"
"57.50000","0.95776","13.08328"
"57.60000","0.95953","13.10748"
"57.70000","0.96122","13.12690"
"57.80000","0.96287","13.14465"
"57.90000","0.96481","13.17978"
"58.00000","0.96661","13.20407"
"58.10000","0.96830","13.22130"
"58.20000","0.96996","13.23789"
"58.30000","0.97167","13.25797"
"58.40000","0.97328","13.27257"
"58.50000","0.97485","13.28496"
"58.60000","0.97646","13.30091"
"58.70000","0.97803","13.31385"
"58.80000","0.97955","13.32416"
"58.90000","0.98111","13.33811"
"59.00000","0.98271","13.35695"
"59.10000","0.98430","13.37352"
"59.20000","0.98587","13.38929"
"59.30000","0.98748","13.40664"
"59.40000","0.98912","13.42680"
"59.50000","0.99080","13.44968"
"59.60000","0.99252","13.47432"
"59.70000","0.99419","13.49379"
"59.80000","0.99603","13.52398"
"59.90000","0.99784","13.55189"
"60.00000","0.99955","13.57220"
"60.10000","1.00124","13.59110"
"60.20000","1.00298","13.61344"
"60.30000","1.00473","13.63500"
"60.40000","1.00640","13.65241"
"60.50000","1.00812","13.67388"
"60.60000","1.00981","13.69211"
"60.70000","1.01150","13.71091"
"60.80000","1.01316","13.72737"
"60.90000","1.01475","13.74158"
"61.00000","1.01632","13.75479"
"61.10000","1.01786","13.76866"
"61.20000","1.01964","13.79808"
"61.30000","1.02139","13.82236"
"61.40000","1.02306","13.84181"
"61.50000","1.02471","13.86080"
"61.60000","1.02640","13.88245"
"61.70000","1.02805","13.90134"
"61.80000","1.02972","13.92135"
"61.90000","1.03127","13.93405"
"62.00000","1.03284","13.94923"
"62.10000","1.03452","13.97151"
"62.20000","1.03620","13.99353"
"62.30000","1.03786","14.01231"
"62.40000","1.03955","14.03306"
"62.50000","1.04133","14.05976"
"62.60000","1.04308","14.08291"
"62.70000","1.04474","14.10042"
"62.80000","1.04645","14.12219"
"62.90000","1.04809","14.13978"
"63.00000","1.04981","14.16271"
"63.10000","1.05157","14.18899"
"63.20000","1.05335","14.21596"
"63.30000","1.05495","14.23122"
"63.40000","1.05662","14.25108"
"63.50000","1.05834","14.27585"
"63.60000","1.06001","14.29684"
"63.70000","1.06159","14.31262"
"63.80000","1.06315","14.32824"
"63.90000","1.06477","14.34766"
"64.00000","1.06650","14.37516"
"64.10000","1.06819","14.39952"
"64.20000","1.06986","14.42171"
"64.30000","1.07158","14.44606"
"64.40000","1.07331","14.47250"
"64.50000","1.07512","14.50298"
"64.60000","1.07675","14.52025"
"64.70000","1.07845","14.54334"
"64.80000","1.08019","14.56730"
"64.90000","1.08173","14.57856"
"65.00000","1.08328","14.59335"
"65.10000","1.08488","14.61236"
"65.20000","1.08657","14.63779"
"65.30000","1.08818","14.65836"
"65.40000","1.08984","14.68085"
"65.50000","1.09154","14.70731"
"65.60000","1.09317","14.72826"
"65.70000","1.09472","14.74366"
"65.80000","1.09636","14.76572"
"65.90000","1.09798","14.78677"
"66.00000","1.09959","14.80743"
"66.10000","1.10125","14.83055"
"66.20000","1.10290","14.85149"
"66.30000","1.10459","14.87649"
"66.40000","1.10634","14.90357"
"66.50000","1.10816","14.93469"
"66.60000","1.10987","14.95679"
"66.70000","1.11146","14.96991"
"66.80000","1.11310","14.98811"
"66.90000","1.11470","15.00401"
"67.00000","1.11631","15.02100"
"67.10000","1.11779","15.02928"
"67.20000","1.11934","15.04502"
"67.30000","1.12097","15.06607"
"67.40000","1.12270","15.09552"
"67.50000","1.12437","15.11753"
"67.60000","1.12597","15.13609"
"67.70000","1.12774","15.16627"
"67.80000","1.12959","15.20077"
"67.90000","1.13132","15.22527"
"68.00000","1.13304","15.24850"
"68.10000","1.13470","15.26694"
"68.20000","1.13637","15.28644"
"68.30000","1.13802","15.30426"
"68.40000","1.13974","15.32664"
